experiment_id,t_seconds,offered,served,ok,errors,latency_p50_s,latency_p90_s,latency_max_s
E4-run01,0,500,78,78,0,0.1339,0.1706,0.1775
E4-run01,1,500,498,498,0,0.1244,0.3524,0.5154
E4-run01,2,500,502,502,0,0.1201,0.1247,0.1328
E4-run01,3,500,501,501,0,0.1204,0.1254,0.1355
E4-run01,4,500,498,498,0,0.1213,0.1315,0.1503
E4-run01,5,500,500,500,0,0.1208,0.1262,0.1899
E4-run01,6,500,657,494,163,0.1239,5.0000,5.0000
E4-run01,7,500,340,340,0,0.0898,0.1263,0.4385
E4-run01,8,500,501,501,0,0.1233,0.1286,0.2032
E4-run01,9,500,501,501,0,0.1226,0.1269,0.1405
E4-run01,10,500,502,502,0,0.1234,0.1285,0.1592
E4-run01,11,500,494,494,0,0.1234,0.1286,0.2002
E4-run01,12,500,657,495,162,0.1317,5.0000,5.0000
E4-run01,13,500,349,349,0,0.1242,0.1711,0.3190
E4-run01,14,500,335,335,0,0.1247,0.1563,0.4288
E4-run01,15,500,153,153,0,0.8099,1.2406,1.3890
E4-run01,16,500,507,507,0,0.3543,1.4727,1.9276
E4-run01,17,500,604,574,30,0.1401,2.7880,5.0000
E4-run01,18,500,677,546,131,0.1933,5.0000,5.0000
E4-run01,19,500,455,455,0,0.1244,0.1845,4.6531
E4-run01,20,500,582,507,75,0.1265,5.0000,5.0000
E4-run01,21,500,468,432,36,0.1253,4.9310,5.0000
E4-run01,22,500,464,437,27,0.1247,0.4940,5.0000
E4-run01,23,500,169,127,42,0.1250,5.0000,5.0000
E4-run01,24,500,0,0,0,0.0000,0.0000,0.0000
E4-run01,25,500,248,196,52,2.3216,5.0000,5.0000
E4-run01,26,500,482,409,73,0.1264,5.0000,5.0000
E4-run01,27,500,507,507,0,0.1253,0.5516,4.8814
E4-run01,28,500,579,499,80,0.1261,5.0000,5.0000
E4-run01,29,500,454,420,34,0.1330,0.1805,5.0000
E4-run01,30,500,523,475,48,0.1324,0.2003,5.0000
E4-run01,31,500,555,442,113,0.1238,5.0000,5.0000
E4-run01,32,500,425,397,28,0.1224,0.1295,5.0000
E4-run01,33,500,508,493,15,0.1224,0.1283,5.0000
E4-run01,34,500,550,481,69,0.1234,5.0000,5.0000
E4-run01,35,500,495,459,36,0.1229,0.1288,5.0000
E4-run01,36,500,525,469,56,0.1225,5.0000,5.0000
E4-run01,37,500,539,451,88,0.1237,5.0000,5.0000
E4-run01,38,500,432,423,9,0.1222,0.1264,5.0000
E4-run01,39,500,517,488,29,0.1229,0.1294,5.0000
E4-run01,40,500,510,469,41,0.1225,0.1290,5.0000
E4-run01,41,500,496,464,32,0.1219,0.1288,5.0000
E4-run01,42,500,532,471,61,0.1227,5.0000,5.0000
E4-run01,43,500,518,444,74,0.1234,5.0000,5.0000
E4-run01,44,500,432,428,4,0.1224,0.1268,5.0000
E4-run01,45,500,532,494,38,0.1227,0.1299,5.0000
E4-run01,46,500,501,464,37,0.1230,0.1337,5.0000
E4-run01,47,500,490,465,25,0.1241,0.1302,5.0000
E4-run01,48,500,536,478,58,0.1247,5.0000,5.0000
E4-run01,49,500,516,444,72,0.1248,5.0000,5.0000
