experiment_id,t_seconds,offered,served,ok,errors,latency_p50_s,latency_p90_s,latency_max_s
E5-run01,0,90,4,4,0,0.0955,0.0995,0.0995
E5-run01,1,90,95,95,0,0.1203,0.1258,0.2043
E5-run01,2,90,88,88,0,0.1206,0.1241,0.1455
E5-run01,3,90,92,92,0,0.1071,0.1250,0.2015
E5-run01,4,90,89,89,0,0.0951,0.1242,0.1279
E5-run01,5,90,91,91,0,0.1210,0.1255,0.1452
E5-run01,6,90,16,16,0,0.1205,0.1231,0.1245
E5-run01,7,90,45,45,0,0.0881,0.1268,0.1342
E5-run01,8,90,92,92,0,0.1210,0.1247,0.1500
E5-run01,9,90,89,89,0,0.1215,0.1270,0.1560
E5-run01,10,90,91,90,1,0.1219,0.1322,5.0000
E5-run01,11,90,179,92,87,0.1292,5.0000,5.0000
E5-run01,12,90,126,91,35,0.1217,5.0000,5.0000
E5-run01,13,90,88,88,0,0.1213,0.1243,0.1281
E5-run01,14,90,90,90,0,0.1207,0.1245,0.1452
E5-run01,15,90,90,90,0,0.1210,0.1333,0.1685
E5-run01,16,90,60,60,0,0.0896,0.1240,0.1407
E5-run01,17,90,43,43,0,0.0930,0.1338,0.1557
E5-run01,18,90,17,17,0,0.1021,0.1322,0.1408
E5-run01,19,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,20,90,12,12,0,0.1338,2.5044,2.5450
E5-run01,21,90,68,68,0,0.0933,0.1342,0.1497
E5-run01,22,90,90,90,0,0.1307,0.1346,0.1646
E5-run01,23,90,108,90,18,0.1327,5.0000,5.0000
E5-run01,24,90,133,89,44,0.1335,5.0000,5.0000
E5-run01,25,90,136,91,45,0.1336,5.0000,5.0000
E5-run01,26,90,106,90,16,0.1323,5.0000,5.0000
E5-run01,27,90,89,89,0,0.1346,0.2121,0.3301
E5-run01,28,90,56,56,0,0.2087,0.3906,0.5845
E5-run01,29,90,93,93,0,0.1780,0.7833,0.8496
E5-run01,30,90,61,61,0,0.0881,0.1265,0.1340
E5-run01,31,90,61,61,0,0.0856,0.1239,0.1400
E5-run01,32,90,59,59,0,0.0859,0.1233,0.1239
E5-run01,33,90,96,90,6,0.1200,0.1275,5.0000
E5-run01,34,90,119,90,29,0.1219,5.0000,5.0000
E5-run01,35,90,121,91,30,0.1222,5.0000,5.0000
E5-run01,36,90,117,90,27,0.1233,5.0000,5.0000
E5-run01,37,90,118,90,28,0.1225,5.0000,5.0000
E5-run01,38,90,90,90,0,0.1213,0.1244,0.1519
E5-run01,39,90,72,72,0,0.1016,0.1260,0.1562
E5-run01,40,90,66,66,0,0.0861,0.1236,0.1271
E5-run01,41,90,69,69,0,0.0947,0.1237,0.1268
E5-run01,42,90,69,69,0,0.0862,0.1248,0.1281
E5-run01,43,90,72,71,1,0.0894,0.1235,5.0000
E5-run01,44,90,96,76,20,0.1212,5.0000,5.0000
E5-run01,45,90,110,89,21,0.1221,5.0000,5.0000
E5-run01,46,90,114,91,23,0.1225,5.0000,5.0000
E5-run01,47,90,112,91,21,0.1219,5.0000,5.0000
E5-run01,48,90,107,87,20,0.1220,5.0000,5.0000
E5-run01,49,90,93,82,11,0.1023,5.0000,5.0000
E5-run01,50,90,73,73,0,0.0935,0.1265,0.1589
E5-run01,51,90,71,71,0,0.1213,0.1307,0.1564
E5-run01,52,90,72,72,0,0.1034,0.1369,0.1791
E5-run01,53,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,54,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,55,90,56,56,0,0.0913,2.3550,2.3988
E5-run01,56,90,80,74,6,0.1276,0.1459,5.0000
E5-run01,57,90,90,71,19,0.1289,5.0000,5.0000
E5-run01,58,90,99,82,17,0.1284,5.0000,5.0000
E5-run01,59,90,108,91,17,0.1203,5.0000,5.0000
E5-run01,60,90,109,91,18,0.1289,5.0000,5.0000
E5-run01,61,90,105,89,16,0.1259,5.0000,5.0000
E5-run01,62,90,96,78,18,0.1220,5.0000,5.0000
E5-run01,63,90,78,73,5,0.1205,0.1297,5.0000
E5-run01,64,90,75,75,0,0.1105,0.1264,0.1559
E5-run01,65,90,77,77,0,0.0901,0.1237,0.1393
E5-run01,66,90,76,76,0,0.0880,0.1245,0.1432
E5-run01,67,90,90,77,13,0.1217,5.0000,5.0000
E5-run01,68,90,90,73,17,0.1210,5.0000,5.0000
E5-run01,69,90,93,78,15,0.1171,5.0000,5.0000
E5-run01,70,90,104,90,14,0.1206,5.0000,5.0000
E5-run01,71,90,104,90,14,0.0939,5.0000,5.0000
E5-run01,72,90,105,91,14,0.1198,5.0000,5.0000
E5-run01,73,90,89,74,15,0.1211,5.0000,5.0000
E5-run01,74,90,85,73,12,0.0966,5.0000,5.0000
E5-run01,75,90,74,74,0,0.0883,0.1244,0.1446
E5-run01,76,90,79,79,0,0.1143,0.1314,0.1488
E5-run01,77,90,78,78,0,0.0854,0.1236,0.1294
E5-run01,78,90,95,77,18,0.1207,5.0000,5.0000
E5-run01,79,90,93,77,16,0.1220,5.0000,5.0000
E5-run01,80,90,88,74,14,0.1219,5.0000,5.0000
E5-run01,81,90,102,90,12,0.1214,5.0000,5.0000
E5-run01,82,90,100,89,11,0.1209,5.0000,5.0000
E5-run01,83,90,101,88,13,0.1205,5.0000,5.0000
E5-run01,84,90,77,64,13,0.1201,5.0000,5.0000
E5-run01,85,90,99,83,16,0.1231,5.0000,5.0000
E5-run01,86,90,77,77,0,0.1365,0.1827,0.2909
E5-run01,87,90,37,37,0,0.1328,0.1364,0.1403
E5-run01,88,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,89,90,10,10,0,2.4897,2.5341,2.5341
E5-run01,90,90,80,80,0,0.1139,0.1353,0.1468
E5-run01,91,90,91,78,13,0.1320,5.0000,5.0000
E5-run01,92,90,96,79,17,0.1324,5.0000,5.0000
E5-run01,93,90,91,76,15,0.1319,5.0000,5.0000
E5-run01,94,90,91,80,11,0.1207,5.0000,5.0000
E5-run01,95,90,99,89,10,0.1329,5.0000,5.0000
E5-run01,96,90,100,89,11,0.1218,5.0000,5.0000
E5-run01,97,90,89,78,11,0.0862,5.0000,5.0000
E5-run01,98,90,88,73,15,0.1218,5.0000,5.0000
E5-run01,99,90,87,77,10,0.1208,5.0000,5.0000
E5-run01,100,90,76,76,0,0.1211,0.1256,0.1429
E5-run01,101,90,85,84,1,0.1209,0.1268,5.0000
E5-run01,102,90,93,79,14,0.1212,5.0000,5.0000
E5-run01,103,90,93,78,15,0.1233,5.0000,5.0000
E5-run01,104,90,93,77,16,0.1211,5.0000,5.0000
E5-run01,105,90,88,77,11,0.1201,5.0000,5.0000
E5-run01,106,90,99,90,9,0.1211,0.1387,5.0000
E5-run01,107,90,100,90,10,0.1212,5.0000,5.0000
E5-run01,108,90,86,76,10,0.1209,5.0000,5.0000
E5-run01,109,90,90,74,16,0.1069,5.0000,5.0000
E5-run01,110,90,87,76,11,0.1208,5.0000,5.0000
E5-run01,111,90,78,78,0,0.1108,0.1240,0.1595
E5-run01,112,90,84,82,2,0.1214,0.1252,5.0000
E5-run01,113,90,95,80,15,0.1219,5.0000,5.0000
E5-run01,114,90,94,80,14,0.1216,5.0000,5.0000
E5-run01,115,90,90,75,15,0.1207,5.0000,5.0000
E5-run01,116,90,85,75,10,0.1215,5.0000,5.0000
E5-run01,117,90,101,92,9,0.1214,0.1387,5.0000
E5-run01,118,90,95,87,8,0.1208,0.1386,5.0000
E5-run01,119,90,87,76,11,0.1213,5.0000,5.0000
E5-run01,120,90,91,76,15,0.1252,5.0000,5.0000
E5-run01,121,90,90,77,13,0.1267,5.0000,5.0000
E5-run01,122,90,9,9,0,0.1247,0.1336,0.1336
E5-run01,123,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,124,90,45,45,0,0.1266,2.4330,2.4375
E5-run01,125,90,82,82,0,0.1148,0.1331,0.1646
E5-run01,126,90,94,81,13,0.1258,5.0000,5.0000
E5-run01,127,90,95,80,15,0.1259,5.0000,5.0000
E5-run01,128,90,93,79,14,0.1256,5.0000,5.0000
E5-run01,129,90,84,73,11,0.1314,5.0000,5.0000
E5-run01,130,90,94,86,8,0.1262,0.1558,5.0000
E5-run01,131,90,96,88,8,0.0966,0.1388,5.0000
E5-run01,132,90,89,79,10,0.1075,5.0000,5.0000
E5-run01,133,90,89,76,13,0.1213,5.0000,5.0000
E5-run01,134,90,92,77,15,0.1210,5.0000,5.0000
E5-run01,135,90,80,76,4,0.1210,0.1267,5.0000
E5-run01,136,90,85,84,1,0.1200,0.1283,5.0000
E5-run01,137,90,95,82,13,0.0990,5.0000,5.0000
E5-run01,138,90,95,81,14,0.1212,5.0000,5.0000
E5-run01,139,90,91,78,13,0.1092,5.0000,5.0000
E5-run01,140,90,87,74,13,0.1201,5.0000,5.0000
E5-run01,141,90,91,84,7,0.1212,0.1298,5.0000
E5-run01,142,90,97,90,7,0.1210,0.1389,5.0000
E5-run01,143,90,87,77,10,0.1209,5.0000,5.0000
E5-run01,144,90,90,78,12,0.1209,5.0000,5.0000
E5-run01,145,90,94,79,15,0.1217,5.0000,5.0000
E5-run01,146,90,77,72,5,0.1004,0.1897,5.0000
E5-run01,147,90,50,48,2,0.3481,0.8150,5.0000
E5-run01,148,90,131,119,12,0.1316,0.8377,5.0000
E5-run01,149,90,93,80,13,0.1153,5.0000,5.0000
E5-run01,150,90,95,81,14,0.1220,5.0000,5.0000
E5-run01,151,90,86,73,13,0.1215,5.0000,5.0000
E5-run01,152,90,90,83,7,0.1209,0.1624,5.0000
E5-run01,153,90,93,86,7,0.1125,0.1419,5.0000
E5-run01,154,90,90,81,9,0.1223,5.0000,5.0000
E5-run01,155,90,91,79,12,0.1284,5.0000,5.0000
E5-run01,156,90,64,53,11,0.1320,5.0000,5.0000
E5-run01,157,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,158,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,159,90,79,69,10,0.1320,5.0000,5.0000
E5-run01,160,90,81,78,3,0.1082,0.1362,5.0000
E5-run01,161,90,92,85,7,0.1215,0.1478,5.0000
E5-run01,162,90,94,82,12,0.1325,5.0000,5.0000
E5-run01,163,90,93,80,13,0.1145,5.0000,5.0000
E5-run01,164,90,90,77,13,0.0947,5.0000,5.0000
E5-run01,165,90,87,76,11,0.1202,5.0000,5.0000
E5-run01,166,90,93,87,6,0.1215,0.1395,5.0000
E5-run01,167,90,93,85,8,0.1212,0.1475,5.0000
E5-run01,168,90,86,76,10,0.1212,5.0000,5.0000
E5-run01,169,90,94,79,15,0.1178,5.0000,5.0000
E5-run01,170,90,89,77,12,0.1197,5.0000,5.0000
E5-run01,171,90,82,79,3,0.0871,0.1265,5.0000
E5-run01,172,90,91,83,8,0.1258,0.1560,5.0000
E5-run01,173,90,95,84,11,0.1206,5.0000,5.0000
E5-run01,174,90,92,80,12,0.1219,5.0000,5.0000
E5-run01,175,90,90,77,13,0.1212,5.0000,5.0000
E5-run01,176,90,84,73,11,0.1071,5.0000,5.0000
E5-run01,177,90,93,88,5,0.1162,0.1399,5.0000
E5-run01,178,90,90,82,8,0.1209,0.1600,5.0000
E5-run01,179,90,91,80,11,0.1312,5.0000,5.0000
E5-run01,180,90,92,78,14,0.0972,5.0000,5.0000
E5-run01,181,90,92,79,13,0.1213,5.0000,5.0000
E5-run01,182,90,79,75,4,0.0944,0.1308,5.0000
E5-run01,183,90,93,86,7,0.1224,0.1265,5.0000
E5-run01,184,90,93,83,10,0.1000,5.0000,5.0000
E5-run01,185,90,92,79,13,0.1080,5.0000,5.0000
E5-run01,186,90,90,77,13,0.1224,5.0000,5.0000
E5-run01,187,90,87,76,11,0.1326,5.0000,5.0000
E5-run01,188,90,90,85,5,0.1321,0.1605,5.0000
E5-run01,189,90,95,87,8,0.1106,0.1537,5.0000
E5-run01,190,90,88,78,10,0.1231,5.0000,5.0000
E5-run01,191,90,30,26,4,0.1230,5.0000,5.0000
E5-run01,192,90,0,0,0,0.0000,0.0000,0.0000
E5-run01,193,90,69,59,10,0.1220,5.0000,5.0000
E5-run01,194,90,87,74,13,0.1217,5.0000,5.0000
E5-run01,195,90,85,80,5,0.1123,0.1468,5.0000
E5-run01,196,90,91,84,7,0.1056,0.1495,5.0000
E5-run01,197,90,93,83,10,0.1325,5.0000,5.0000
E5-run01,198,90,90,78,12,0.1321,5.0000,5.0000
E5-run01,199,90,93,80,13,0.1211,5.0000,5.0000
E5-run01,200,90,87,75,12,0.0947,5.0000,5.0000
E5-run01,201,90,89,84,5,0.0999,0.1380,5.0000
E5-run01,202,90,90,83,7,0.1196,0.1313,5.0000
E5-run01,203,90,91,80,11,0.1221,5.0000,5.0000
E5-run01,204,90,91,79,12,0.1220,5.0000,5.0000
E5-run01,205,90,90,76,14,0.1224,5.0000,5.0000
