experiment_id,t_seconds,offered,served,ok,errors,latency_p50_s,latency_p90_s,latency_max_s
E7-run01,0,40,23,23,0,0.0970,0.1250,0.1268
E7-run01,1,40,39,39,0,0.0859,0.1248,0.1266
E7-run01,2,40,41,41,0,0.0850,0.1246,0.1258
E7-run01,3,40,40,40,0,0.0849,0.1221,0.1247
E7-run01,4,40,41,41,0,0.0849,0.1229,0.1255
E7-run01,5,40,40,40,0,0.0847,0.1241,0.1276
E7-run01,6,40,40,40,0,0.0850,0.1219,0.1265
E7-run01,7,40,39,39,0,0.0858,0.1248,0.4516
E7-run01,8,40,39,39,0,0.0852,0.1249,0.4350
E7-run01,9,40,41,41,0,0.0852,0.1244,0.1248
E7-run01,10,40,41,41,0,0.0855,0.1242,0.1265
E7-run01,11,40,9,9,0,0.0851,0.1236,0.1236
E7-run01,12,40,0,0,0,0.0000,0.0000,0.0000
E7-run01,13,40,0,0,0,0.0000,0.0000,0.0000
E7-run01,14,40,1,1,0,0.0845,0.0845,0.0845
E7-run01,15,40,28,28,0,0.0851,0.1254,0.1260
E7-run01,16,40,78,40,38,0.1273,5.0000,5.0000
E7-run01,17,40,79,40,39,0.1250,5.0000,5.0000
E7-run01,18,40,82,42,40,0.1303,5.0000,5.0000
E7-run01,19,40,76,40,36,0.1215,5.0000,5.0000
E7-run01,20,40,50,40,10,0.0853,5.0000,5.0000
E7-run01,21,40,3,3,0,0.0851,0.1256,0.1256
E7-run01,22,40,0,0,0,0.0000,0.0000,0.0000
E7-run01,23,40,22,22,0,0.0933,2.4582,2.5003
E7-run01,24,40,40,40,0,0.0927,0.1318,0.1365
E7-run01,25,40,40,40,0,0.0925,0.0984,0.1370
E7-run01,26,40,40,40,0,0.0930,0.1349,0.1398
E7-run01,27,40,40,40,0,0.0927,0.1350,0.1357
E7-run01,28,40,40,40,0,0.0928,0.1330,0.1380
E7-run01,29,40,26,26,0,0.0924,0.0940,0.0962
E7-run01,30,40,20,20,0,0.0920,0.0938,0.0949
E7-run01,31,40,23,23,0,0.0919,0.0932,0.1355
E7-run01,32,40,21,21,0,0.0854,0.0879,0.1238
E7-run01,33,40,20,20,0,0.0859,0.1393,0.1892
E7-run01,34,40,36,21,15,0.0912,5.0000,5.0000
E7-run01,35,40,40,20,20,5.0000,5.0000,5.0000
E7-run01,36,40,39,21,18,0.0886,5.0000,5.0000
E7-run01,37,40,48,29,19,0.0918,5.0000,5.0000
E7-run01,38,40,60,40,20,0.0863,5.0000,5.0000
E7-run01,39,40,60,40,20,0.0863,5.0000,5.0000
E7-run01,40,40,59,40,19,0.0852,5.0000,5.0000
E7-run01,41,40,59,40,19,0.0873,5.0000,5.0000
E7-run01,42,40,49,40,9,0.0852,5.0000,5.0000
E7-run01,43,40,40,40,0,0.0849,0.1186,0.1232
E7-run01,44,40,40,40,0,0.0850,0.0878,0.0935
E7-run01,45,40,40,40,0,0.0848,0.0874,0.0916
E7-run01,46,40,37,37,0,0.0851,0.1247,0.1255
E7-run01,47,40,21,21,0,0.0849,0.0853,0.0860
E7-run01,48,40,20,20,0,0.0853,0.0885,0.0904
E7-run01,49,40,24,24,0,0.0848,0.0872,0.0893
E7-run01,50,40,25,25,0,0.0852,0.0890,0.1256
E7-run01,51,40,34,29,5,0.0853,5.0000,5.0000
E7-run01,52,40,46,27,19,0.0867,5.0000,5.0000
E7-run01,53,40,45,27,18,0.0883,5.0000,5.0000
E7-run01,54,40,44,27,17,0.0875,5.0000,5.0000
E7-run01,55,40,31,21,10,0.0858,5.0000,5.0000
E7-run01,56,40,0,0,0,0.0000,0.0000,0.0000
E7-run01,57,40,3,2,1,2.2883,5.0000,5.0000
E7-run01,58,40,41,28,13,0.0872,5.0000,5.0000
E7-run01,59,40,42,30,12,0.0875,5.0000,5.0000
E7-run01,60,40,53,41,12,0.0869,5.0000,5.0000
E7-run01,61,40,53,40,13,0.0900,5.0000,5.0000
E7-run01,62,40,53,40,13,0.0871,5.0000,5.0000
E7-run01,63,40,51,39,12,0.0867,5.0000,5.0000
E7-run01,64,40,49,41,8,0.0873,5.0000,5.0000
E7-run01,65,40,40,40,0,0.0962,0.1379,0.1410
E7-run01,66,40,39,39,0,0.0853,0.0958,0.1422
E7-run01,67,40,24,24,0,0.0848,0.0875,0.0916
E7-run01,68,40,25,25,0,0.0851,0.1234,0.1257
E7-run01,69,40,24,24,0,0.0857,0.0900,0.0905
E7-run01,70,40,25,25,0,0.0856,0.0888,0.1221
E7-run01,71,40,30,27,3,0.0855,5.0000,5.0000
E7-run01,72,40,43,28,15,0.0854,5.0000,5.0000
E7-run01,73,40,45,30,15,0.0862,5.0000,5.0000
E7-run01,74,40,45,29,16,0.0854,5.0000,5.0000
E7-run01,75,40,46,31,15,0.0854,5.0000,5.0000
E7-run01,76,40,44,31,13,0.0851,5.0000,5.0000
